             1	           234	             2	             7	             6	             2	            13	             1	
             0	           214	             3	             4	             0	             5	            11	             1	
             0	           234	             5	             9	             3	             5	            11	             2	
             0	           222	             3	             6	             4	             2	            16	             1	
             0	           233	             3	             8	             5	             6	            12	             0	
             1	           228	             6	             9	             1	             6	             9	             0	
             0	           205	             1	             1	             0	             1	             3	             0	
             0	           224	             0	             2	             1	             3	             8	             0	
     2(0.00100)	  1794(0.89566)	    23(0.01148)	    46(0.02297)	    20(0.00999)	    30(0.01498)	    83(0.04144)	     5(0.00250)	
     0/     0	   306/  2954	   204/   269	   184/  1524	   139/  1107	   120/   884	    90/   365	  1698/   459	
         -nan	     0.103588	     0.758364	     0.120735	     0.125565	     0.135747	     0.246575	     3.699346	
